rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
26,guardian_us,The Guardian US,print_digital,0.00034098,0.154313,0.525000,0.00002780,0.00004386,high,8,8,89337.500000,71470000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/theguardian.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.theguardian.com/us
27,verdict_ted_cruz,Verdict with Ted Cruz,podcast,0.00035191,0.118313,0.525000,0.00002120,0.00002991,high,8,8,92200.000000,461000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCdlniljY9Zfz990G8WeOosg/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.youtube.com/@VerdictwithTedCruz
28,cnbc,CNBC,cable,0.00054580,0.103250,0.391667,0.00002061,0.00003238,medium,4,4,143000.000000,143000.000000,avg_total_day_viewers,ok,"Nielsen via Fox Business press release (Q2 2026, M-F total day)",https://press.foxnews.com/2026/07/fox-business-network-secures-seventh-straight-quarterly-win-outpacing-cnbc-in-business-day-and-total-day-during-2q-2026,2026-Q2,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.cnbc.com
29,ny_post,New York Post,print_digital,0.00032080,0.130562,0.450000,0.00001864,0.00002126,high,8,8,84050.000000,67240000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/nypost.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://nypost.com/
30,ap,Associated Press,print_digital,0.00029241,0.114000,0.495238,0.00001589,0.00002436,high,7,7,76612.500000,61290000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/apnews.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://apnews.com/
31,bbc_news,BBC News (US audience),print_digital,0.00047772,0.070688,0.441667,0.00001399,0.00001988,high,8,8,125162.500000,100130000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/bbc.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.bbc.com/news/us-canada
32,npr,NPR (npr.org),print_digital,0.00019590,0.145750,0.487500,0.00001379,0.00001817,high,8,8,51325.000000,41060000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/npr.org/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.npr.org/
33,forbes,Forbes,print_digital,0.00022481,0.122714,0.466667,0.00001226,0.00001906,high,7,7,58900.000000,47120000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/forbes.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.forbes.com/
34,ezra_klein_show,The Ezra Klein Show,podcast,0.00042443,0.058000,0.400000,0.00000985,0.00000985,low,1,1,111200.000000,556000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCnxuOd8obvLLtf5_-YKFbiQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.nytimes.com/column/ezra-klein-podcast
35,huffpost,HuffPost,print_digital,0.00011846,0.166625,0.441667,0.00000863,0.00001195,high,8,8,31037.500000,24830000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/huffpost.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.huffpost.com/
